          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    0.430     0     0     0.0      0      0 |   10   431    0.0082    0.0008    0.0000 |
    0.440     0     0     0.0      0      0 |   10   441    0.0067    0.0007    0.0000 |
    0.450     0     0     0.0      0      0 |   10   451    0.0062    0.0006    0.0000 |
    0.460     0     0     0.0      0      0 |   10   461    0.0068    0.0007    0.0000 |
    0.470     0     0     0.0      0      0 |   10   471    0.0063    0.0006    0.0000 |
    0.480     0     0     0.0      0      0 |   10   481    0.0087    0.0009    0.0000 |
    0.490     0     0     0.0      0      0 |   10   491    0.0063    0.0006    0.0000 |
    0.500     0     0     0.0      0      0 |   10   501    0.0064    0.0006    0.0000 |
    0.510     0     0     0.0      0      0 |   10   511    0.0058    0.0006    0.0000 |
    0.520     0     0     0.0      0      0 |   10   521    0.0055    0.0006    0.0000 |
    0.530     0     0     0.0      0      0 |   10   531    0.0082    0.0008    0.0000 |
    0.540     0     0     0.0      0      0 |   10   541    0.0081    0.0008    0.0000 |
    0.550     0     0     0.0      0      0 |   10   551    0.0063    0.0006    0.0000 |
    0.560     0     0     0.0      0      0 |   10   561    0.0066    0.0007    0.0000 |
    0.570     0     0     0.0      0      0 |   10   571    0.0067    0.0007    0.0000 |
    0.580     0     0     0.0      0      0 |   10   581    0.0079    0.0008    0.0000 |
    0.590     0     0     0.0      0      0 |   10   591    0.0082    0.0008    0.0000 |
    0.600     0     0     0.0      0      0 |   10   601    0.0061    0.0006    0.0000 |
    0.610     0     0     0.0      0      0 |   10   611    0.0068    0.0007    0.0000 |
    0.620     0     0     0.0      0      0 |   10   621    0.0059    0.0006    0.0000 |
    0.630     0     0     0.0      0      0 |   10   631    0.0078    0.0008    0.0000 |
    0.640     0     0     0.0      0      0 |   10   641    0.0068    0.0007    0.0000 |
    0.650     0     0     0.0      0      0 |   10   651    0.0063    0.0006    0.0000 |
    0.660     0     0     0.0      0      0 |   10   661    0.0062    0.0006    0.0000 |
    0.670     0     0     0.0      0      0 |   10   671    0.0067    0.0007    0.0000 |
    0.680     0     0     0.0      0      0 |   10   681    0.0079    0.0008    0.0000 |
    0.690     0     0     0.0      0      0 |   10   691    0.0069    0.0007    0.0000 |
    0.700     0     0     0.0      0      0 |   10   701    0.0065    0.0007    0.0000 |
    0.710     0     0     0.0      0      0 |   10   711    0.0068    0.0007    0.0000 |
    0.720     0     0     0.0      0      0 |   10   721    0.0060    0.0006    0.0000 |
    0.730     0     0     0.0      0      0 |   10   731    0.0089    0.0009    0.0000 |
    0.740     0     0     0.0      0      0 |   10   741    0.0076    0.0008    0.0000 |
    0.750     0     0     0.0      0      0 |   10   751    0.0066    0.0007    0.0000 |
    0.760     0     0     0.0      0      0 |   10   761    0.0068    0.0007    0.0000 |
    0.770     0     0     0.0      0      0 |   10   771    0.0059    0.0006    0.0000 |
    0.780     0     0     0.0      0      0 |   10   781    0.0080    0.0008    0.0000 |
    0.790     0     0     0.0      0      0 |   10   791    0.0073    0.0007    0.0000 |
    0.800     0     0     0.0      0      0 |   10   801    0.0063    0.0006    0.0000 |
    0.810     0     0     0.0      0      0 |   10   811    0.0063    0.0006    0.0000 |
    0.820     0     0     0.0      0      0 |   10   821    0.0068    0.0007    0.0000 |
    0.830     0     0     0.0      0      0 |   10   831    0.0084    0.0008    0.0000 |
    0.840     0     0     0.0      0      0 |   10   841    0.0073    0.0007    0.0000 |
    0.850     0     0     0.0      0      0 |   10   851    0.0057    0.0006    0.0000 |
    0.860     0     0     0.0      0      0 |   10   861    0.0070    0.0007    0.0000 |
    0.870     0     0     0.0      0      0 |   10   871    0.0069    0.0007    0.0000 |
    0.880     0     0     0.0      0      0 |   10   881    0.0069    0.0007    0.0000 |
    0.890     0     0     0.0      0      0 |   10   891    0.0085    0.0009    0.0000 |
    0.900     0     0     0.0      0      0 |   10   901    0.0068    0.0007    0.0000 |
    0.910     0     0     0.0      0      0 |   10   911    0.0059    0.0006    0.0000 |
    0.920     0     0     0.0      0      0 |   10   921    0.0061    0.0006    0.0000 |
    0.930     0     0     0.0      0      0 |   10   931    0.0071    0.0007    0.0000 |
    0.940     0     0     0.0      0      0 |   10   941    0.0101    0.0010    0.0000 |
    0.950     0     0     0.0      0      0 |   10   951    0.0066    0.0007    0.0000 |
    0.960     0     0     0.0      0      0 |   10   961    0.0068    0.0007    0.0000 |
    0.970     0     0     0.0      0      0 |   10   971    0.0104    0.0010    0.0000 |
    0.980     0     0     0.0      0      0 |   10   981    0.0082    0.0008    0.0000 |
    0.990     0     0     0.0      0      0 |   10   991    0.0087    0.0009    0.0000 |
    1.000     0     0     0.0      0      0 |   10  1001    0.0067    0.0007    0.0000 |
    1.010     0     0     0.0      0      0 |   10  1011    0.0066    0.0007    0.0000 |
    1.020     0     0     0.0      0      0 |   10  1021    0.0068    0.0007    0.0000 |
    1.030     0     0     0.0      0      0 |   10  1031    0.0077    0.0008    0.0000 |
    1.040     0     0     0.0      0      0 |   10  1041    0.0070    0.0007    0.0000 |
    1.050     0     0     0.0      0      0 |   10  1051    0.0066    0.0007    0.0000 |
    1.060     0     0     0.0      0      0 |   10  1061    0.0060    0.0006    0.0000 |
    1.070     0     0     0.0      0      0 |   10  1071    0.0073    0.0007    0.0000 |
    1.080     0     0     0.0      0      0 |   10  1081    0.0074    0.0007    0.0000 |
    1.090     0     0     0.0      0      0 |   10  1091    0.0067    0.0007    0.0000 |
    1.100     0     0     0.0      0      0 |   10  1101    0.0064    0.0006    0.0000 |
    1.110     0     0     0.0      0      0 |   10  1111    0.0057    0.0006    0.0000 |
    1.120     0     0     0.0      0      0 |   10  1121    0.0067    0.0007    0.0000 |
    1.130     0     0     0.0      0      0 |   10  1131    0.0087    0.0009    0.0000 |
    1.140     0     0     0.0      0      0 |   10  1141    0.0065    0.0006    0.0000 |
    1.150     0     0     0.0      0      0 |   10  1151    0.0070    0.0007    0.0000 |
    1.160     0     0     0.0      0      0 |   10  1161    0.0094    0.0009    0.0000 |
    1.170     0     0     0.0      0      0 |   10  1171    0.0093    0.0009    0.0000 |
    1.180     0     0     0.0      0      0 |   10  1181    0.0090    0.0009    0.0000 |
    1.190     0     0     0.0      0      0 |   10  1191    0.0093    0.0009    0.0000 |
    1.200     0     0     0.0      0      0 |   10  1201    0.0092    0.0009    0.0000 |
    1.210     0     0     0.0      0      0 |   10  1211    0.0101    0.0010    0.0000 |
    1.220     0     0     0.0      0      0 |   10  1221    0.0088    0.0009    0.0000 |
    1.230     0     0     0.0      0      0 |   10  1231    0.0084    0.0008    0.0000 |
    1.240     0     0     0.0      0      0 |   10  1241    0.0097    0.0010    0.0000 |
    1.250     0     0     0.0      0      0 |   10  1251    0.0087    0.0009    0.0000 |
    1.260     0     0     0.0      0      0 |   10  1261    0.0087    0.0009    0.0000 |
    1.270     0     0     0.0      0      0 |   10  1271    0.0090    0.0009    0.0000 |
    1.280     0     0     0.0      0      0 |   10  1281    0.0086    0.0009    0.0000 |
    1.290     0     0     0.0      0      0 |   10  1291    0.0085    0.0009    0.0000 |
    1.300     0     0     0.0      0      0 |   10  1301    0.0085    0.0008    0.0000 |
    1.310     0     0     0.0      0      0 |   10  1311    0.0092    0.0009    0.0000 |
    1.320     0     0     0.0      0      0 |   10  1321    0.0067    0.0007    0.0000 |
    1.330     0     0     0.0      0      0 |   10  1331    0.0071    0.0007    0.0000 |
    1.340     0     0     0.0      0      0 |   10  1341    0.0095    0.0010    0.0000 |
    1.350     0     0     0.0      0      0 |   10  1351    0.0077    0.0008    0.0000 |
    1.360     0     0     0.0      0      0 |   10  1361    0.0059    0.0006    0.0000 |
    1.370     0     0     0.0      0      0 |   10  1371    0.0093    0.0009    0.0000 |
    1.380     0     0     0.0      0      0 |   10  1381    0.0090    0.0009    0.0000 |
    1.390     0     0     0.0      0      0 |   10  1391    0.0087    0.0009    0.0000 |
    1.400     0     0     0.0      0      0 |   10  1401    0.0078    0.0008    0.0000 |
    1.410     0     0     0.0      0      0 |   10  1411    0.0062    0.0006    0.0000 |
    1.420     0     0     0.0      0      0 |   10  1421    0.0070    0.0007    0.0000 |
    1.430     0     0     0.0      0      0 |   10  1431    0.0090    0.0009    0.0000 |
    1.440     0     0     0.0      0      0 |   10  1441    0.0063    0.0006    0.0000 |
    1.450     0     0     0.0      0      0 |   10  1451    0.0070    0.0007    0.0000 |
    1.460     0     0     0.0      0      0 |   10  1461    0.0084    0.0008    0.0000 |
    1.470     0     0     0.0      0      0 |   10  1471    0.0072    0.0007    0.0000 |
    1.480     0     0     0.0      0      0 |   10  1481    0.0087    0.0009    0.0000 |
    1.490     0     0     0.0      0      0 |   10  1491    0.0084    0.0008    0.0000 |
    1.500     0     0     0.0      0      0 |   10  1501    0.0070    0.0007    0.0000 |
    1.510     0     0     0.0      0      0 |   10  1511    0.0064    0.0006    0.0000 |
    1.520     0     0     0.0      0      0 |   10  1521    0.0076    0.0008    0.0000 |
    1.530     0     0     0.0      0      0 |   10  1531    0.0063    0.0006    0.0000 |
    1.540     0     0     0.0      0      0 |   10  1541    0.0069    0.0007    0.0000 |
    1.550     0     0     0.0      0      0 |   10  1551    0.0069    0.0007    0.0000 |
    1.560     0     0     0.0      0      0 |   10  1561    0.0070    0.0007    0.0000 |
    1.570     0     0     0.0      0      0 |   10  1571    0.0077    0.0008    0.0000 |
    1.580     0     0     0.0      0      0 |   10  1581    0.0069    0.0007    0.0000 |
    1.590     0     0     0.0      0      0 |   10  1591    0.0064    0.0006    0.0000 |
    1.600     0     0     0.0      0      0 |   10  1601    0.0066    0.0007    0.0000 |
    1.610     0     0     0.0      0      0 |   10  1611    0.0067    0.0007    0.0000 |
    1.620     0     0     0.0      0      0 |   10  1621    0.0078    0.0008    0.0000 |
    1.630     0     0     0.0      0      0 |   10  1631    0.0065    0.0006    0.0000 |
    1.640     0     0     0.0      0      0 |   10  1641    0.0063    0.0006    0.0000 |
    1.650     0     0     0.0      0      0 |   10  1651    0.0063    0.0006    0.0000 |
    1.660     0     0     0.0      0      0 |   10  1661    0.0084    0.0008    0.0000 |
    1.670     0     0     0.0      0      0 |   10  1671    0.0088    0.0009    0.0000 |
    1.680     0     0     0.0      0      0 |   10  1681    0.0069    0.0007    0.0000 |
    1.690     0     0     0.0      0      0 |   10  1691    0.0065    0.0007    0.0000 |
    1.700     0     0     0.0      0      0 |   10  1701    0.0062    0.0006    0.0000 |
    1.710     0     0     0.0      0      0 |   10  1711    0.0073    0.0007    0.0000 |
    1.720     0     0     0.0      0      0 |   10  1721    0.0075    0.0007    0.0000 |
    1.730     0     0     0.0      0      0 |   10  1731    0.0063    0.0006    0.0000 |
    1.740     0     0     0.0      0      0 |   10  1741    0.0066    0.0007    0.0000 |
    1.750     0     0     0.0      0      0 |   10  1751    0.0058    0.0006    0.0000 |
    1.760     0     0     0.0      0      0 |   10  1761    0.0071    0.0007    0.0000 |
    1.770     0     0     0.0      0      0 |   10  1771    0.0083    0.0008    0.0000 |
    1.780     0     0     0.0      0      0 |   10  1781    0.0091    0.0009    0.0000 |
    1.790     0     0     0.0      0      0 |   10  1791    0.0071    0.0007    0.0000 |
    1.800     0     0     0.0      0      0 |   10  1801    0.0073    0.0007    0.0000 |
    1.810     0     0     0.0      0      0 |   10  1811    0.0094    0.0009    0.0000 |
    1.820     0     0     0.0      0      0 |   10  1821    0.0070    0.0007    0.0000 |
    1.830     0     0     0.0      0      0 |   10  1831    0.0092    0.0009    0.0000 |
    1.840     0     0     0.0      0      0 |   10  1841    0.0063    0.0006    0.0000 |
    1.850     0     0     0.0      0      0 |   10  1851    0.0058    0.0006    0.0000 |
    1.860     0     0     0.0      0      0 |   10  1861    0.0087    0.0009    0.0000 |
    1.870     0     0     0.0      0      0 |   10  1871    0.0066    0.0007    0.0000 |
    1.880     0     0     0.0      0      0 |   10  1881    0.0065    0.0007    0.0000 |
    1.890     0     0     0.0      0      0 |   10  1891    0.0067    0.0007    0.0000 |
    1.900     0     0     0.0      0      0 |   10  1901    0.0071    0.0007    0.0000 |
    1.910     0     0     0.0      0      0 |   10  1911    0.0084    0.0008    0.0000 |
    1.920     0     0     0.0      0      0 |   10  1921    0.0061    0.0006    0.0000 |
    1.930     0     0     0.0      0      0 |   10  1931    0.0076    0.0008    0.0000 |
    1.940     0     0     0.0      0      0 |   10  1941    0.0058    0.0006    0.0000 |
    1.950     0     0     0.0      0      0 |   10  1951    0.0062    0.0006    0.0000 |
    1.960     0     0     0.0      0      0 |   10  1961    0.0084    0.0008    0.0000 |
    1.970     0     0     0.0      0      0 |   10  1971    0.0063    0.0006    0.0000 |
    1.980     0     0     0.0      0      0 |   10  1981    0.0065    0.0007    0.0000 |
    1.990     0     0     0.0      0      0 |   10  1991    0.0067    0.0007    0.0000 |
    2.000     0     0     0.0      0      0 |   10  2001    0.0063    0.0006    0.0000 |
    2.010     0    16    11.1    111    111 |   10  2011    0.0429    0.0043    0.0004 |
    2.020    12    12    12.0    120    231 |   10  2021    0.0468    0.0047    0.0004 |
    2.030    12    14    13.1    131    362 |   10  2031    0.0500    0.0050    0.0004 |
    2.040    13    14    13.5    135    497 |   10  2041    0.0530    0.0053    0.0004 |
    2.050    12    14    12.8    128    625 |   10  2051    0.0501    0.0050    0.0004 |
    2.060    14    15    14.8    148    773 |   10  2061    0.0544    0.0054    0.0004 |
    2.070    15    15    15.0    150    923 |   10  2071    0.0566    0.0057    0.0004 |
    2.080    14    15    14.9    149   1072 |   10  2081    0.0541    0.0054    0.0004 |
    2.090    14    14    14.0    140   1212 |   10  2091    0.0507    0.0051    0.0004 |
    2.100    14    14    14.0    140   1352 |   10  2101    0.0523    0.0052    0.0004 |
    2.110    12    14    12.6    126   1478 |   10  2111    0.0451    0.0045    0.0004 |
    2.120    12    13    12.7    127   1605 |   10  2121    0.0480    0.0048    0.0004 |
    2.130    11    13    12.6    126   1731 |   10  2131    0.0471    0.0047    0.0004 |
    2.140    11    11    11.0    110   1841 |   10  2141    0.0440    0.0044    0.0004 |
    2.150    10    11    10.7    107   1948 |   10  2151    0.0393    0.0039    0.0004 |
    2.160    10    11    10.2    102   2050 |   10  2161    0.0417    0.0042    0.0004 |
    2.170     9    10     9.2     92   2142 |   10  2171    0.0365    0.0037    0.0004 |
    2.180     7     8     7.4     74   2216 |   10  2181    0.0306    0.0031    0.0004 |
    2.190     7     8     7.4     74   2290 |   10  2191    0.0326    0.0033    0.0004 |
    2.200     8     9     8.8     88   2378 |   10  2201    0.0354    0.0035    0.0004 |
    2.210     9    10     9.7     97   2475 |   10  2211    0.0440    0.0044    0.0005 |
    2.220    10    10    10.0    100   2575 |   10  2221    0.0406    0.0041    0.0004 |
    2.230    10    10    10.0    100   2675 |   10  2231    0.0399    0.0040    0.0004 |
    2.240    10    10    10.0    100   2775 |   10  2241    0.0401    0.0040    0.0004 |
    2.250    10    10    10.0    100   2875 |   10  2251    0.0356    0.0036    0.0004 |
    2.260    10    10    10.0    100   2975 |   10  2261    0.0402    0.0040    0.0004 |
    2.270    10    10    10.0    100   3075 |   10  2271    0.0383    0.0038    0.0004 |
    2.280    10    10    10.0    100   3175 |   10  2281    0.0423    0.0042    0.0004 |
    2.290    10    10    10.0    100   3275 |   10  2291    0.0420    0.0042    0.0004 |
    2.300     9    10     9.9     99   3374 |   10  2301    0.0508    0.0051    0.0005 |
    2.310     9     9     9.0     90   3464 |   10  2311    0.0470    0.0047    0.0005 |
    2.320     9     9     9.0     90   3554 |   10  2321    0.0480    0.0048    0.0005 |
    2.330     8     9     8.4     84   3638 |   10  2331    0.0381    0.0038    0.0005 |
    2.340     8     8     8.0     80   3718 |   10  2341    0.0301    0.0030    0.0004 |
    2.350     8     8     8.0     80   3798 |   10  2351    0.0329    0.0033    0.0004 |
    2.360     8     8     8.0     80   3878 |   10  2361    0.0315    0.0032    0.0004 |
    2.370     8     8     8.0     80   3958 |   10  2371    0.0351    0.0035    0.0004 |
    2.380     7     8     7.8     78   4036 |   10  2381    0.0343    0.0034    0.0004 |
    2.390     7     8     7.5     75   4111 |   10  2391    0.0320    0.0032    0.0004 |
    2.400     7     8     7.2     72   4183 |   10  2401    0.0306    0.0031    0.0004 |
    2.410     7     7     7.0     70   4253 |   10  2411    0.0303    0.0030    0.0004 |
    2.420     7     7     7.0     70   4323 |   10  2421    0.0293    0.0029    0.0004 |
    2.430     6     7     6.4     64   4387 |   10  2431    0.0298    0.0030    0.0005 |
    2.440     6     7     6.1     61   4448 |   10  2441    0.0252    0.0025    0.0004 |
    2.450     6     6     6.0     60   4508 |   10  2451    0.0278    0.0028    0.0005 |
    2.460     6     6     6.0     60   4568 |   10  2461    0.0228    0.0023    0.0004 |
    2.470     4     6     5.7     57   4625 |   10  2471    0.0266    0.0027    0.0005 |
    2.480     5     5     5.0     50   4675 |   10  2481    0.0223    0.0022    0.0004 |
    2.490     4     6     5.0     50   4725 |   10  2491    0.0234    0.0023    0.0005 |
    2.500     5     5     5.0     50   4775 |   10  2501    0.0223    0.0022    0.0004 |
    2.510     5     5     5.0     50   4825 |   10  2511    0.0244    0.0024    0.0005 |
    2.520     4     5     4.9     49   4874 |   10  2521    0.0209    0.0021    0.0004 |
    2.530     4     5     4.4     44   4918 |   10  2531    0.0216    0.0022    0.0005 |
    2.540     4     5     4.2     42   4960 |   10  2541    0.0186    0.0019    0.0004 |
    2.550     4     4     4.0     40   5000 |   10  2551    0.0213    0.0021    0.0005 |
    2.560     4     4     4.0     40   5040 |   10  2561    0.0182    0.0018    0.0005 |
    2.570     3     4     3.8     38   5078 |   10  2571    0.0221    0.0022    0.0006 |
    2.580     3     4     3.1     31   5109 |   10  2581    0.0228    0.0023    0.0007 |
    2.590     2     3     2.7     27   5136 |   10  2591    0.0206    0.0021    0.0008 |
    2.600     2     3     2.9     29   5165 |   10  2601    0.0213    0.0021    0.0007 |
    2.610     2     3     2.8     28   5193 |   10  2611    0.0209    0.0021    0.0007 |
    2.620     2     3     2.8     28   5221 |   10  2621    0.0209    0.0021    0.0007 |
    2.630     2     3     2.9     29   5250 |   10  2631    0.0214    0.0021    0.0007 |
    2.640     2     3     2.7     27   5277 |   10  2641    0.0207    0.0021    0.0008 |
    2.650     2     3     2.9     29   5306 |   10  2651    0.0220    0.0022    0.0008 |
    2.660     2     3     2.7     27   5333 |   10  2661    0.0203    0.0020    0.0008 |
    2.670     2     3     2.6     26   5359 |   10  2671    0.0200    0.0020    0.0008 |
    2.680     2     3     2.5     25   5384 |   10  2681    0.0200    0.0020    0.0008 |
    2.690     2     3     2.5     25   5409 |   10  2691    0.0174    0.0017    0.0007 |
    2.700     2     3     2.3     23   5432 |   10  2701    0.0135    0.0014    0.0006 |
    2.710     2     3     2.3     23   5455 |   10  2711    0.0149    0.0015    0.0006 |
    2.720     2     3     2.3     23   5478 |   10  2721    0.0132    0.0013    0.0006 |
    2.730     1     3     1.9     19   5497 |   10  2731    0.0139    0.0014    0.0007 |
    2.740     0     3     1.6     16   5513 |   10  2741    0.0116    0.0012    0.0007 |
    2.750     0     3     1.8     18   5531 |   10  2751    0.0130    0.0013    0.0007 |
    2.760     0     3     1.8     18   5549 |   10  2761    0.0155    0.0015    0.0009 |
    2.770     0     2     1.5     15   5564 |   10  2771    0.0103    0.0010    0.0007 |
    2.780     2     2     2.0     20   5584 |   10  2781    0.0130    0.0013    0.0006 |
    2.790     0     2     1.3     13   5597 |   10  2791    0.0120    0.0012    0.0009 |
    2.800     0     2     0.8      8   5605 |   10  2801    0.0092    0.0009    0.0011 |
    2.810     0     2     0.9      9   5614 |   10  2811    0.0104    0.0010    0.0012 |
    2.820     0     2     0.6      6   5620 |   10  2821    0.0095    0.0010    0.0016 |
    2.830     0     2     0.9      9   5629 |   10  2831    0.0111    0.0011    0.0012 |
    2.840     0     2     0.6      6   5635 |   10  2841    0.0087    0.0009    0.0014 |
    2.850     0     2     0.7      7   5642 |   10  2851    0.0076    0.0008    0.0011 |
    2.860     0     2     0.6      6   5648 |   10  2861    0.0086    0.0009    0.0014 |
    2.870     0     2     0.6      6   5654 |   10  2871    0.0090    0.0009    0.0015 |
    2.880     0     2     0.3      3   5657 |   10  2881    0.0079    0.0008    0.0026 |
    2.890     0     2     0.2      2   5659 |   10  2891    0.0070    0.0007    0.0035 |
    2.900     0     2     0.8      8   5667 |   10  2901    0.0104    0.0010    0.0013 |
    2.910     0     1     0.1      1   5668 |   10  2911    0.0082    0.0008    0.0082 |
    2.920     0     2     0.2      2   5670 |   10  2921    0.0071    0.0007    0.0036 |
    2.930     0     1     0.6      6   5676 |   10  2931    0.0085    0.0009    0.0014 |
    2.940     0     2     0.4      4   5680 |   10  2941    0.0091    0.0009    0.0023 |
    2.950     0     0     0.0      0   5680 |   10  2951    0.0076    0.0008    0.0000 |
    2.960     0     1     0.5      5   5685 |   10  2961    0.0086    0.0009    0.0017 |
    2.970     0     1     0.4      4   5689 |   10  2971    0.0081    0.0008    0.0020 |
    2.980     0     1     0.4      4   5693 |   10  2981    0.0086    0.0009    0.0022 |
    2.990     0     1     0.2      2   5695 |   10  2991    0.0082    0.0008    0.0041 |
    3.000     0     1     0.2      2   5697 |   10  3001    0.0077    0.0008    0.0038 |
    3.010     0     1     0.2      2   5699 |   10  3011    0.0073    0.0007    0.0036 |
    3.020     0     1     0.2      2   5701 |   10  3021    0.0072    0.0007    0.0036 |
    3.030     0     1     0.2      2   5703 |   10  3031    0.0094    0.0009    0.0047 |
    3.040     0     1     0.2      2   5705 |   10  3041    0.0073    0.0007    0.0036 |
    3.050     0     1     0.2      2   5707 |   10  3051    0.0073    0.0007    0.0036 |
    3.060     0     1     0.2      2   5709 |   10  3061    0.0070    0.0007    0.0035 |
    3.070     0     1     0.2      2   5711 |   10  3071    0.0074    0.0007    0.0037 |
    3.080     0     1     0.3      3   5714 |   10  3081    0.0081    0.0008    0.0027 |
    3.090     0     1     0.2      2   5716 |   10  3091    0.0075    0.0007    0.0037 |
    3.100     0     1     0.2      2   5718 |   10  3101    0.0070    0.0007    0.0035 |
    3.110     0     1     0.3      3   5721 |   10  3111    0.0071    0.0007    0.0024 |
    3.120     0     1     0.3      3   5724 |   10  3121    0.0098    0.0010    0.0033 |
    3.130     0     1     0.2      2   5726 |   10  3131    0.0071    0.0007    0.0036 |
    3.140     0     1     0.3      3   5729 |   10  3141    0.0081    0.0008    0.0027 |
    3.150     0     1     0.3      3   5732 |   10  3151    0.0077    0.0008    0.0026 |
    3.160     0     1     0.3      3   5735 |   10  3161    0.0093    0.0009    0.0031 |
    3.170     0     1     0.3      3   5738 |   10  3171    0.0083    0.0008    0.0028 |
    3.180     0     1     0.2      2   5740 |   10  3181    0.0070    0.0007    0.0035 |
    3.190     0     1     0.3      3   5743 |   10  3191    0.0072    0.0007    0.0024 |
    3.200     0     1     0.3      3   5746 |   10  3201    0.0078    0.0008    0.0026 |
    3.210     0     1     0.3      3   5749 |   10  3211    0.0079    0.0008    0.0026 |
    3.220     0     1     0.3      3   5752 |   10  3221    0.0074    0.0007    0.0025 |
    3.230     0     1     0.3      3   5755 |   10  3231    0.0075    0.0007    0.0025 |
    3.240     0     1     0.3      3   5758 |   10  3241    0.0071    0.0007    0.0024 |
    3.250     0     1     0.3      3   5761 |   10  3251    0.0085    0.0008    0.0028 |
    3.260     0     1     0.3      3   5764 |   10  3261    0.0076    0.0008    0.0025 |
    3.270     0     1     0.3      3   5767 |   10  3271    0.0072    0.0007    0.0024 |
    3.280     0     1     0.3      3   5770 |   10  3281    0.0077    0.0008    0.0026 |
    3.290     0     1     0.3      3   5773 |   10  3291    0.0092    0.0009    0.0031 |
    3.300     0     1     0.3      3   5776 |   10  3301    0.0083    0.0008    0.0028 |
    3.310     0     1     0.3      3   5779 |   10  3311    0.0074    0.0007    0.0025 |
    3.320     0     1     0.3      3   5782 |   10  3321    0.0066    0.0007    0.0022 |
    3.330     0     1     0.3      3   5785 |   10  3331    0.0096    0.0010    0.0032 |
    3.340     0     1     0.3      3   5788 |   10  3341    0.0073    0.0007    0.0024 |
    3.350     0     1     0.3      3   5791 |   10  3351    0.0071    0.0007    0.0024 |
    3.360     0     1     0.3      3   5794 |   10  3361    0.0077    0.0008    0.0026 |
    3.370     0     1     0.3      3   5797 |   10  3371    0.0122    0.0012    0.0041 |
